team;staffel;spielnr;datum;zeit;heim;gast;spielstaette;ergebnis;fbid;wettbewerb
HERREN;341727;5;02.08.2026;15:00;TSG 51 Ffm;FFV Sportfreunde 04 FFM;;;;Meisterschaft
HERREN;341727;30;16.08.2026;15:30;VFR Bockenheim;FFV Sportfreunde 04 FFM;;;;Meisterschaft
HERREN;341727;38;23.08.2026;15:00;FFV Sportfreunde 04 FFM;SG Praunheim 1908;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;031D0TFC4C000000VS5489BUVUR5FS5A;Meisterschaft
HERREN;341727;54;30.08.2026;13:00;Spvgg. 02 Griesheim II;FFV Sportfreunde 04 FFM;;;031D0TFC0K000000VS5489BUVUR5FS5A;Meisterschaft
HERREN;341727;56;06.09.2026;15:00;FFV Sportfreunde 04 FFM;DJK SW Griesheim;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;031D0TFB1C000000VS5489BUVUR5FS5A;Meisterschaft
HERREN;341727;65;09.09.2026;19:00;FFV Sportfreunde 04 FFM;TSG Niederrad 1898;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;031D0TFEI8000000VS5489BUVUR5FS5A;Meisterschaft
HERREN;341727;79;13.09.2026;15:30;SV Niederursel;FFV Sportfreunde 04 FFM;;;031D0TFAQ4000000VS5489BUVUR5FS5A;Meisterschaft
HERREN;341727;83;20.09.2026;15:00;FFV Sportfreunde 04 FFM;SC Riedberg;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;031D0TFA20000000VS5489BUVUR5FS5A;Meisterschaft
HERREN;341727;95;27.09.2026;12:30;FC Tempo Ffm II;FFV Sportfreunde 04 FFM;;;031D0TF9OC000000VS5489BUVUR5FS5A;Meisterschaft
HERREN;341727;101;04.10.2026;15:00;FFV Sportfreunde 04 FFM;FV 1920 Hausen;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;031D0TF94K000000VS5489BUVUR5FS5A;Meisterschaft
HERREN;341727;111;11.10.2026;15:00;SV Eritrea Ffm;FFV Sportfreunde 04 FFM;;;031D0TF8P0000000VS5489BUVUR5FS5A;Meisterschaft
HERREN;341727;119;18.10.2026;15:00;FFV Sportfreunde 04 FFM;FC Croatia Ffm;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;;Meisterschaft
HERREN;341727;128;25.10.2026;15:00;FFV Sportfreunde 04 FFM;FC Corumspor Ffm;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;;Meisterschaft
HERREN;341727;144;01.11.2026;12:30;Concordia Eschersheim II;FFV Sportfreunde 04 FFM;;;;Meisterschaft
HERREN;341727;146;08.11.2026;14:30;FFV Sportfreunde 04 FFM;SG Harheim II;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;;Meisterschaft
HERREN;341727;156;15.11.2026;15:00;FFV Sportfreunde 04 FFM;VFR Bockenheim;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;;Meisterschaft
HERREN;341727;176;29.11.2026;14:30;FFV Sportfreunde 04 FFM;TSG 51 Ffm;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;;Meisterschaft
HERREN;341727;182;06.12.2026;12:00;TSG Niederrad 1898;FFV Sportfreunde 04 FFM;;;;Meisterschaft
HERREN;341727;200;28.02.2027;15:00;SG Praunheim 1908;FFV Sportfreunde 04 FFM;;;;Meisterschaft
HERREN;341727;216;07.03.2027;15:30;FFV Sportfreunde 04 FFM;Spvgg. 02 Griesheim II;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;;Meisterschaft
HERREN;341727;218;14.03.2027;15:00;DJK SW Griesheim;FFV Sportfreunde 04 FFM;;;;Meisterschaft
HERREN;341727;232;21.03.2027;15:30;FFV Sportfreunde 04 FFM;SV Niederursel;Sportplatz Mainzer Landstrasse, Frankfurt am Main;;;Meisterschaft
